attraction_id,attraction_name,ratings,no_of_ratings,attraction_type,description,Latitude,Longitude,city,keywords,open_time,close_time
195,The Hanging Church,4.6,5182,Church,Architectural Buildings Religious Sites,30.00527,31.23018,cairo,Church Architectural Buildings Religious Sites,06:00 AM, 12:00 AM
196,Museum Of Modern Egyptian Art,4.2,247,Tourist attraction,Art Museums,30.04369,31.22468,cairo,Tourist attraction Art Museums,06:00 AM, 12:00 AM
197,El Sayed Ahmad Albadawy Mosque,4.5,2779,Mosque,Religious Sites,30.04442,31.23571,cairo,Mosque Religious Sites,06:00 AM, 12:00 AM
198,Sayidi Ibrahim El Dessouky Mosque,4.5,3274,Mosque,Religious Sites,30.04442,31.23571,cairo,Mosque Religious Sites,06:00 AM, 12:00 AM
199,El Nabi Daniel Mosque,4.5,1699,Mosque,Religious Sites,31.19492,29.90234,alexandria,Mosque Religious Sites,06:00 AM, 12:00 AM
200,Abbasi Mosque,4.6,216,Mosque,Religious Sites,30.04442,31.23571,cairo,Mosque Religious Sites,06:00 AM, 12:00 AM
201,Mosque of Sidi Abdullah Ibn al-Harith,4.4,53,Mosque,Religious Sites,30.04442,31.23571,cairo,Mosque Religious Sites,06:00 AM, 12:00 AM
202,Al-Motawally Al-Trini Al-Kabeer mosque,4.7,124,Mosque,Religious Sites,30.04442,31.23571,cairo,Mosque Religious Sites,09:00 AM, 4:00 PM
203,Attarine Mosque,4.6,502,Mosque,Religious Sites,31.19521,29.89899,alexandria,Mosque Religious Sites,06:00 AM, 12:00 AM
204,National Military Museum Egypt,4.3,"4,531",Museum,Warfare exhibits dating to ancient times museum,30.03085,31.26256,cairo,Museum Warfare exhibits dating to ancient times museum,06:00 AM, 12:00 AM
205,Al-Gawhara Palace,4,95,Palace,Palatial museum housing cultural relics,30.02799,31.25941,cairo,Palace Palatial museum housing cultural relics,06:00 AM, 12:00 AM
206,Orman Garden,4.2,"12,540",Garden,Huge complex of flowers & native plants,30.02904,31.21297,cairo,Garden Huge complex of flowers & native plants,09:00 AM, 4:00 PM
207,Saint Barbara Church Complex,4.8,72,Church,Church and architecture Religious sites,30.00608,31.23133,cairo,Church Church and architecture Religious sites,09:00 AM, 5:00 PM
208,Umm Kulthum Museum,4.3,761,Museum,biographical museum,30.00745,31.22529,cairo,Museum biographical museum,09:00 AM, 5:00 PM
209,Aquarium Grotto Garden,3.8,"3,992",Garden,Leafy park with man-made caves,30.0564,31.21908,cairo,Garden Leafy park with man-made caves,06:00 AM, 12:00 AM
210,Valley Temple of Khafre,4.6,338,Historic,Ancient egypt and ancient history historic sites,29.97474,31.13836,giza,Historic Ancient egypt and ancient history historic sites,06:00 AM, 12:00 AM
211,Pyramid of Sahure,4.5,88,Historical landmark,Ancient complex of pyramids & temples historic sites,29.89763,31.20339,giza,Historical landmark Ancient complex of pyramids & temples historic sites,09:00 AM, 4:00 PM
212,St. George's church,4.7,371,Church,Religious Sites Round church with an ornate interior,30.0063,31.23009,cairo,Church Religious Sites Round church with an ornate interior,06:00 AM, 12:00 AM
213,Mahmoud Mukhtar Museum,4.5,261,Museum,"Museum, sculpture and art",30.0407,31.22287,cairo,"Museum Museum, sculpture and art",06:00 AM, 12:00 AM
214,Rhoda Island,4.4,224,island,,30.0225,31.22611,cairo,island,06:00 AM, 12:00 AM
215,Manasterly Palace,4.2,821,Palace,Grand historic building & music venue museum,30.00718,31.22482,cairo,Palace Grand historic building & music venue museum,06:00 AM, 12:00 AM
216,Pyramid of Djedefre,4.2,77,Tourist attraction,Ruined ancient site atop a rocky plateau,30.03226,31.07471,giza,Tourist attraction Ruined ancient site atop a rocky plateau,06:00 AM, 12:00 AM
217,Zoological Museum,4.7,181,Museum,Speciality Museums zoolgy,30.02077,31.21492,giza,Museum Speciality Museums zoolgy,09:00 AM, 10:00 PM
218,Picasso Art Gallery,4.6,311,Art Gallery,"Pablo picasso, art and painting",30.06151,31.22242,cairo,"Art Gallery Pablo picasso, art and painting",06:00 AM, 12:00 AM
219,Maadi Island,4.2,"8,124",Garden,,29.9658,31.23931,cairo,Garden,06:00 AM, 12:00 AM
220,Pyramid of Neferirkare,4.4,29,Tourist attraction,Ancient memorial & temple complex Historic Sites,29.89509,31.20225,giza,Tourist attraction Ancient memorial & temple complex Historic Sites,06:00 AM, 12:00 AM
221,Unfinished Pyramid,3.9,36,Historical landmark,Ancient egypt and ancient history Historic Sites,29.94021,31.15149,giza,Historical landmark Ancient egypt and ancient history Historic Sites,06:00 AM, 12:00 AM
222,Topaz Bazaar,4.5,125,Bazar,Shopping Tours,29.98492,31.14321,giza,Bazar Shopping Tours,06:00 AM, 12:00 AM
223,Al Horreya Garden,4.2,"4,063",Garden,Palms & statues in riverside green space Botanical,30.04147,31.22579,cairo,Garden Palms & statues in riverside green space Botanical,06:00 AM, 12:00 AM
224,Zamalek Art Gallery,4.6,270,Art Gallery,Art Galleries,30.06137,31.22296,cairo,Art Gallery Art Galleries,06:00 AM, 12:00 AM
225,Al-Nasser Mohammed Ibn Kalawoun,4.7,318,Mosque,Religious Sites,30.02921,31.26087,cairo,Mosque Religious Sites,09:00 AM, 4:00 PM
226,El Andalos Park,4.1,810,Park,Moorish-style water feature & statues,30.0442,31.22741,cairo,Park Moorish-style water feature & statues,06:00 AM, 12:00 AM
227,Islamic Ceramics Museum,3.9,64,Museum,Art Museums,30.05717,31.22265,cairo,Museum Art Museums,09:00 AM, 4:00 PM
228,Al-Roda Nilometer,4.5,572,Historical landmark,,30.00697,31.225,cairo,Historical landmark,09:00 AM, 4:00 PM
229,National Police Museum,3.9,98,Museum,Speciality Museums,30.03084,31.25992,cairo,Museum Speciality Museums,06:00 AM, 12:00 AM
230,Karmet Ibn Hanie Cultural Center Ahmed Shawky Museum,4.3,164,Museum,,30.02126,31.21743,cairo,Museum,06:00 AM, 12:00 AM
231,Pyramids of Queens,4.6,386,Historical landmark,Ancient temples at Giza necropolis,29.97157,31.12799,giza,Historical landmark Ancient temples at Giza necropolis,09:00 AM, 4:00 PM
232,Safari Park,4.1,"11,594",Park,"Ferris wheel, pony rides & boating",30.07566,31.19167,giza,"Park Ferris wheel, pony rides & boating",06:00 AM, 12:00 AM
233,Geographical Association of Egypt,4.4,75,Museum,,30.04112,31.23605,cairo,Museum,06:00 AM, 12:00 AM
234,Abou Seifain Church,4.7,158,Church,Monastery and architecture Religious Sites,30.01244,31.23075,cairo,Church Monastery and architecture Religious Sites,06:00 AM, 12:00 AM
235,The Palace Of Arts,4.5,139,Museum,Art Museums,30.04346,31.2261,cairo,Museum Art Museums,09:00 AM, 4:00 PM
236,Jaz?rat Warr?q al ?a?ar,4.4,111,island,,30.11861,31.22583,cairo,island,06:00 AM, 12:00 AM
237,The Royal Mummies Hall,4.7,984,Museum,Ancient Egyptian mummies & coffins,30.00815,31.24826,cairo,Museum Ancient Egyptian mummies & coffins,06:00 AM, 12:00 AM
238,Darb 1718,4.3,"1,667",Archive,"Live music, yoga classes & craft courses contemporary art and culture center",30.00301,31.23177,cairo,"Archive Live music, yoga classes & craft courses contemporary art and culture center", 9:00 AM , 4:00 PM
239,Safarkhan Art Gallery,4.3,59,Art Gallery,Art and modern art,30.06052,31.22205,cairo,Art Gallery Art and modern art,06:00 AM, 12:00 AM
240,Ramses Wissa Wassef Art Center,4.5,124,Art Gallery,Art and museum,29.96875,31.17596,giza,Art Gallery Art and museum,06:00 AM, 12:00 AM
241,Jaz?rat adh Dhahab,3.9,20,island,,31.20583,30.55333,giza,island,09:00 AM, 4:00 PM
242,Abou Ghorab Temple,4.5,43,Temple,"Temple, ancient egypt, ancient history and architecture historic sites",29.90402,31.19412,giza,"Temple Temple, ancient egypt, ancient history and architecture historic sites",06:00 AM, 12:00 AM
243,Foustat Traditional Crafts Center,4.4,194,art and museum,Handicraft,30.00637,31.23472,cairo,art and museum Handicraft,06:00 AM, 12:00 AM
244,Egypt's Renaissance Statue,4.4,208,statue,"Renaissance, art and history",30.02833,31.21593,giza,"statue Renaissance, art and history",06:00 AM, 12:00 AM
245,Sulayman Pasha Mosque,4.8,40,Mosque,Religious Sites,30.03106,31.26435,cairo,Mosque Religious Sites,09:00 AM, 7:00 PM
246,Tomb of Queen Khentkawes I,4.5,48,Historical landmark,Historic sites,29.97335,31.13551,giza,Historical landmark Historic sites,09:00 AM, 4:00 PM
247,Cairo Zoo,3.8,127,Zoo,,30.02212,31.21608,giza,Zoo,06:00 AM, 12:00 AM
248,Nation's House Museum,4.3,220,Museum,,30.03805,31.23746,cairo,Museum,06:00 AM, 12:00 AM
249,Umm Kulthum Park,4.1,"1,513",Park,Landscaped green space on the Nile,30.03108,31.22562,cairo,Park Landscaped green space on the Nile,06:00 AM, 12:00 AM
250,Bab El Azab,4.4,34,Historical landmark,,30.03106,31.25817,cairo,Historical landmark,06:00 AM, 12:00 AM
251,Mausoleum of al-Imam al-Shafi'i,4.7,177,Historical landmark,,30.0118,31.25806,cairo,Historical landmark,06:00 AM, 12:00 AM
252,Al Funun Garden,3.8,"4,727",Garden,Riverside spot dotted with palm trees,30.02281,31.22288,cairo,Garden Riverside spot dotted with palm trees,06:00 AM, 12:00 AM
253,Pyramid of Hetepheres I,4.5,136,Historical landmark,Remains of an ancient queen's tomb Historic Sites,29.97892,31.13614,giza,Historical landmark Remains of an ancient queen's tomb Historic Sites,06:00 AM, 12:00 AM
254,Hollywood Sharm El Sheikh,3.9,"4,760",Park,Points of Interest & Landmarks theme,27.86481,34.29848,sharm el sheikh,Park Points of Interest & Landmarks theme,06:00 AM, 12:00 AM
255,Soho Square Dancing Fountain,4.6,"6,446",Tourist attraction,Points of Interest & Landmarks Fountains,27.96281,34.39398,sharm el sheikh,Tourist attraction Points of Interest & Landmarks Fountains,06:00 AM, 12:00 AM
256,Mustafa Mosque,4.7,"3,770",Mosque,Points of Interest & Landmarks Architectural Buildings Religious Sites Churches & Cathedrals,27.89247,34.29964,sharm el sheikh,Mosque Points of Interest & Landmarks Architectural Buildings Religious Sites Churches & Cathedrals,06:00 AM, 12:00 AM
257,Cleo Park,4.1,838,Park,Water Parks,27.9168,34.32298,sharm el sheikh,Park Water Parks,06:00 AM, 12:00 AM
258,Peace Square,4.5,"1,641",Park,National park,27.96378,34.36132,sharm el sheikh,Park National park,06:00 AM, 12:00 AM
259,The Heavenly Cathedral,4.8,"3,664",Church,Churches & Cathedrals,27.88806,34.29541,sharm el sheikh,Church Churches & Cathedrals,06:00 AM, 12:00 AM
260,El Sherif Safari,4.2,"2,580",Tourist attraction,"4WD, ATV & Off-Road Tours Boat Tours Water Sports Sightseeing Tours",27.9429,34.31232,sharm el sheikh,"Tourist attraction 4WD, ATV & Off-Road Tours Boat Tours Water Sports Sightseeing Tours",06:00 AM, 12:00 AM
261,Safari Sharm,4.2,"2,852",Tourist attraction,,27.95351,34.28735,sharm el sheikh,Tourist attraction,06:00 AM, 12:00 AM
262,Old market sharm el sheikh,4.4,"21,874",Cruise agency,Flea & Street Markets,27.86532,34.29579,sharm el sheikh,Cruise agency Flea & Street Markets,06:00 AM, 12:00 AM
263,Wadi Al-Khorom,4.3,137,Tourist attraction,,27.94279,34.294,sharm el sheikh,Tourist attraction,06:00 AM, 12:00 AM
264,The monument in Sharm El Sheikh,4.5,"1,483",Tourist attraction,,27.84863,34.31634,sharm el sheikh,Tourist attraction,06:00 AM, 12:00 AM
265,The Old Market,4.4,"8,825",Tourist attraction,,27.86556,34.29584,sharm el sheikh,Tourist attraction,06:00 AM, 12:00 AM
266,Royal Sea Scope submarine- Egypt SunMarine Fleet,4.4,"1,359",Tourist attraction,Submarine Tours,27.86192,34.28986,sharm el sheikh,Tourist attraction Submarine Tours,06:00 AM, 12:00 AM
267,SOHO Square Sharm El Sheikh,4.6,"34,810",Shopping mall,Shopping Malls,27.96257,34.39381,sharm el sheikh,Shopping mall Shopping Malls,06:00 AM, 12:00 AM
268,Royal Seascope Submarines Hurghada,4.3,718,Tourist attraction,,27.2579,33.81161,sharm el sheikh,Tourist attraction,06:00 AM, 12:00 AM
269,Travelino Club Egypt | Escursioni Sharm el Sheikh Excursions,4.7,117,Travel agency,Cultural Tours Swim with Dolphins Boat Tours Sightseeing Tours Day Trips,27.89521,34.30436,sharm el sheikh,Travel agency Cultural Tours Swim with Dolphins Boat Tours Sightseeing Tours Day Trips,06:00 AM, 12:00 AM
270,Pedestrian Rd Neama Bay,4.4,"1,314",Tourist attraction,,27.91233,34.32241,sharm el sheikh,Tourist attraction,06:00 AM, 12:00 AM
271,Sharm El Sheikh Museum,4.6,375,Museum,,27.93129,34.3457,sharm el sheikh,Museum,06:00 AM, 12:00 AM
272,Sahaba Mosque,4.8,"2,569",Mosque,Architectural Buildings Religious Sites,27.86662,34.29524,sharm el sheikh,Mosque Architectural Buildings Religious Sites,06:00 AM, 12:00 AM
273,Ghibli Raceway,4.4,277,Go-kart track,Auto Racing Tracks,27.92197,34.34462,sharm el sheikh,Go-kart track Auto Racing Tracks,06:00 AM, 12:00 AM
274,run4peace run4egypt,4.4,109,Historical landmark,,27.96437,34.36115,sharm el sheikh,Historical landmark,06:00 AM, 12:00 AM
275,sharks bay,4.6,474,Beach volleyball club,Beaches,27.95158,34.38441,sharm el sheikh,Beach volleyball club Beaches,06:00 AM, 12:00 AM
276,Naama Bay,4.5,"2,389",Water,Bodies of Water Beaches,27.9117,34.33242,sharm el sheikh,Water Bodies of Water Beaches,06:00 AM, 12:00 AM
277,Oasis safari T,4.1,52,Tourist attraction,,27.94436,34.31273,sharm el sheikh,Tourist attraction,06:00 AM, 12:00 AM
278,Dolphina,4.2,"1,559",Tourist attraction,Amusement & Theme Parks,28.05434,34.42544,sharm el sheikh,Tourist attraction Amusement & Theme Parks,06:00 AM, 12:00 AM
279,Safari Assembly,4.2,299,Whale watching tour agency,,27.9382,34.31,sharm el sheikh,Whale watching tour agency,06:00 AM, 12:00 AM
280,Genena City,4.2,"6,266",Shopping mall,,27.90801,34.31983,sharm el sheikh,Shopping mall,06:00 AM, 12:00 AM
281,VIVA Beach & Restaurant,4,"1,088",Beach,public,27.90943,34.32666,sharm el sheikh,Beach public,06:00 AM, 12:00 AM
282,Taj Mahal - Sharm El Sheikh Night Club,3.8,115,Night club,Dance Clubs & Discos,27.85914,34.31148,sharm el sheikh,Night club Dance Clubs & Discos,06:00 AM, 6:00 PM
283,Great location for Photoshoots,4.8,87,Tourist attraction,,27.79468,34.21189,sharm el sheikh,Tourist attraction,10:00 AM, 6:00 PM
284,Ras Mohamed Nature Reserve,4.8,"1,578",Tourist attraction,,27.74988,34.23844,sharm el sheikh,Tourist attraction,10:00 AM, 12:00 AM
285,Rixos Beach,4.8,990,Beach,public,28.02937,34.4421,sharm el sheikh,Beach public,06:00 AM, 12:00 AM
286,La Strada Mall,3.9,208,Shopping mall,,28.04281,34.42925,sharm el sheikh,Shopping mall,09:00 AM, 4:00 PM
287,Fun & Sun Managed by Rixos Premium,4.8,556,Park,,28.03595,34.42711,sharm el sheikh,Park, 6:00 AM , 10:00 PM
288,Luxor Museum,4.7,"4,784",Museum,History Museums,25.70761,32.64455,luxor,Museum History Museums,06:00 AM, 5:30 PM
289,Luxor Temple,4.8,"20,901",Archaeological site,Ancient Ruins Monuments & Statues,25.6995,32.63905,luxor,Archaeological site Ancient Ruins Monuments & Statues,09:00 AM, 5:00 PM
290,Karnak,4.8,"19,205",Historical landmark,Historic Sites Ancient Ruins,25.71883,32.65727,luxor,Historical landmark Historic Sites Ancient Ruins,09:00 AM, 5:00 PM
291,Mummification Museum,4.4,584,Museum,Speciality Museums Archaeological,25.70232,32.63985,luxor,Museum Speciality Museums Archaeological,06:00 AM, 5:00 PM
292,Ramesseum,4.7,493,Historical landmark,Ancient Ruins,25.728,32.61046,luxor,Historical landmark Ancient Ruins,06:00 AM, 5:00 PM
293,Avenue of the Rams,4.8,243,Historical landmark,Ancient Ruins Historic Walking Areas,25.7195,32.6562,luxor,Historical landmark Ancient Ruins Historic Walking Areas,06:00 AM, 5:00 PM
294,Medinet Habu,4.8,"3,256",Historical landmark,Ancient Ruins,25.71933,32.60134,luxor,Historical landmark Ancient Ruins,06:00 AM, 5:00 PM
295,First Pylon Luxor Temple,4.5,24,Historical landmark,,25.7003,32.63967,luxor,Historical landmark, 6:00 AM , 5:30 PM
296,Colossi of Memnon,4.6,"5,761",Historical landmark,Ancient Ruins Monuments & Statues,25.72146,32.60832,luxor,Historical landmark Ancient Ruins Monuments & Statues, 6:00 AM , 5:00 PM
297,Karnak Open-air Museum,4.9,31,Historical landmark,History Museums,25.72043,32.65748,luxor,Historical landmark History Museums,06:00 AM, 12:00 AM
298,Valley of the Kings,4.8,"10,872",Archaeological site,,25.74016,32.60141,luxor,Archaeological site,06:00 AM, 12:00 AM
299,Avenue of Sphinxes,4.9,65,Historical landmark,,25.70102,32.64053,luxor,Historical landmark,07:00 AM, 10:00 PM
300,Banana Island,4,"2,298",Park,Islands,25.6836,32.62284,luxor,Park Islands,06:00 AM, 5:00 PM
301,Abou al-Haggag Mosque,4.7,"1,352",Mosque,,25.69987,32.63977,luxor,Mosque,06:00 AM, 12:00 AM
302,Valley of the Queens,4.6,"1,283",Historical landmark,Ancient Ruins Cemeteries,25.72858,32.59292,luxor,Historical landmark Ancient Ruins Cemeteries, 6:00 AM , 5:00 PM
303,"Magic Horizon Balloons, Luxor",4.6,248,Balloon ride tour agency,Balloon Rides,25.68801,32.6324,luxor,Balloon ride tour agency Balloon Rides, 6:00 AM , 5:00 PM
304,Ramesses III Temple,4.8,156,Historical landmark,Ancient Ruins,25.7183,32.65698,luxor,Historical landmark Ancient Ruins,06:00 AM, 5:30 PM
305,Mut Temple,4.4,371,Historical landmark,Historic Sites Ancient Ruins Religious Sites Monuments & Statues,25.71166,32.65521,luxor,Historical landmark Historic Sites Ancient Ruins Religious Sites Monuments & Statues, 6:00 AM , 5:00 PM
306,Precinct of Amun-Re,4.8,263,Place of worship,,25.7178,32.65803,luxor,Place of worship, 7:00 PM , 8:00 PM
307,Tombs of the Nobles,4.6,281,Historical landmark,Ancient Ruins Cemeteries,25.73141,32.59702,luxor,Historical landmark Ancient Ruins Cemeteries,06:00 AM, 5:00 PM
308,Sound & Light,4.5,718,Historical landmark,Theatre & Performances,25.72066,32.65337,luxor,Historical landmark Theatre & Performances,06:00 AM, 12:00 AM
309,Mortuary Temple of Seti I,4.6,674,Historical landmark,Ancient Ruins,25.73267,32.62816,luxor,Historical landmark Ancient Ruins,06:00 AM, 5:30 PM
310,Deir el-Medina,4.7,501,Historical landmark,Historic Sites Ancient Ruins,25.7281,32.60144,luxor,Historical landmark Historic Sites Ancient Ruins,06:00 AM, 5:30 PM
311,Hypostyle Hall,4.9,143,Historical landmark,,25.71866,32.65782,luxor,Historical landmark,06:00 AM, 5:00 PM
312,Temple Of Khonsu,4.7,70,Historical landmark,Historic Sites Ancient Ruins,25.7166,32.65578,luxor,Historical landmark Historic Sites Ancient Ruins, 6:00 AM , 5:00 PM
313,Mortuary Temple of Hatshepsut,4.7,"14,029",Tourist attraction,Historic Sites Ancient Ruins Monuments & Statues,25.73828,32.60649,luxor,Tourist attraction Historic Sites Ancient Ruins Monuments & Statues, 6:00 AM , 5:00 PM
314,Deir el-Bahari,4.7,417,Historical landmark,Ancient Ruins Monuments & Statues,25.73726,32.60773,luxor,Historical landmark Ancient Ruins Monuments & Statues, 6:00 AM , 5:00 PM
315,Temple of Thutmose III,4.8,159,Historical landmark,,25.71786,32.65956,luxor,Historical landmark,07:00 AM, 6:00 PM
316,Mortuary Temple of Amenhotep III,4.6,"6,294",Historical landmark,,25.72143,32.60907,luxor,Historical landmark, 6:00 AM , 6:00 PM
317,Luxorstables - Nobi Arabian Horse Stables,4.6,69,Horseback riding service,Nature & Wildlife Tours Horseback Riding Tours,25.70787,32.63139,luxor,Horseback riding service Nature & Wildlife Tours Horseback Riding Tours,06:00 AM, 12:00 AM
318,Luxor Fruit and Vegetable Market,4,972,Fruit and vegetable store,Flea & Street Markets Farmers Markets,25.69786,32.64615,luxor,Fruit and vegetable store Flea & Street Markets Farmers Markets,06:00 AM, 12:00 AM
319,King Tut Balloons,4.8,29,Balloon ride tour agency,Balloon Rides Private Tours,25.68327,32.63386,luxor,Balloon ride tour agency Balloon Rides Private Tours,06:00 AM, 12:00 AM
320,First Pylon,4.8,68,Historical landmark,,25.7193,32.65692,luxor,Historical landmark,06:00 AM, 12:00 AM
321,Wadi El Rayan Fayoum Fall,4.3,1611,Waterfalls,Waterfalls,29.19089,30.40119,fayoum,Waterfalls Waterfalls,06:00 AM, 12:00 AM
322,Fayoum Oasis,4,76,Oasis,City Tours Cultural Tours Climbing Tours Day Trips,29.45361,30.58083,fayoum,Oasis City Tours Cultural Tours Climbing Tours Day Trips,06:00 AM, 12:00 AM
323,The Pyramid of Sneferu,4.5,14,Points of Interest & Landmarks,,29.80859,31.20661,fayoum,Points of Interest & Landmarks,06:00 AM, 12:00 AM
324,Waterwheels in Al Faiyum,3.5,25,Points of Interest & Landmarks,Points of Interest & Landmarks,29.45361,30.58083,fayoum,Points of Interest & Landmarks Points of Interest & Landmarks,06:00 AM, 12:00 AM
325,Pyramids of El Fayoum,4.5,3,Monuments & Statues,Monuments & Statues,29.3084,30.84285,fayoum,Monuments & Statues Monuments & Statues,06:00 AM, 12:00 AM
326,Fayoum Art Center,4,8,Art Gallery,Art Galleries Art Museums,29.39912,30.48959,fayoum,Art Gallery Art Galleries Art Museums,06:00 AM, 12:00 AM
327,Karanis,4,9,Ancient Ruins,Ancient Ruins,29.51873,30.90329,fayoum,Ancient Ruins Ancient Ruins,06:00 AM, 12:00 AM
328,Kom Aushim Museum,4.1,120,Museum,History Musems,29.51857,30.8978,fayoum,Museum History Musems,06:00 AM, 12:00 AM
329,Al Sultan Qaitbay Mosque,4.7,268,Mosque,,30.04749,31.26004,fayoum,Mosque,06:00 AM, 12:00 AM
330,Qasr Qaroun Temple,4.2,468,Historical landmark,,29.40568,30.41832,fayoum,Historical landmark, 9:00 AM , 5:00 PM
331,Magic lake camp,4.4,58,Campground,,29.16149,30.34093,fayoum,Campground,09:00 AM, 4:00 PM
332,Citadel of Qaitbay,4.4,37071,Fortress,15th-century fortress & naval museum,31.21401,29.88564,alexandria,Fortress 15th-century fortress & naval museum,10:00 AM, 7:00 PM
333,Montaza Palace,4.5,15723,Palace,1932 ornate palace & extensive gardens,31.2885,30.01597,alexandria,Palace 1932 ornate palace & extensive gardens,06:00 AM, 12:00 AM
334,Bibliotheca Alexandrina,4.6,6221,Library,Landmark contemporary library complex,31.20887,29.9092,alexandria,Library Landmark contemporary library complex,06:00 AM, 12:00 AM
335,Serapeum of Alexandria,4.3,6206,Temple,Iconic Roman-era granite column,31.18259,29.89627,alexandria,Temple Iconic Roman-era granite column,09:00 AM, 4:00 PM
336,Sidi Morsi Abu al-Abbas Mosque,4.6,2753,Mosque,"Large, architecturally notable mosque Religious Sites",31.20554,29.8823,alexandria,"Mosque Large, architecturally notable mosque Religious Sites", 9:00 AM , 4:00 PM
337,Catacombs of Kom el Shoqafa,4.5,3187,archaeological site,Burial chambers from the 2nd century,31.17874,29.89307,alexandria,archaeological site Burial chambers from the 2nd century,06:00 AM, 12:00 AM
338,Alexandria National Museum,4.4,2185,Museum,Egyptian history in an Italianate palace,31.20074,29.9132,alexandria,Museum Egyptian history in an Italianate palace,06:00 AM, 12:00 AM
339,Royal Jewelry Museum,4.6,6247,Museum,Collections from Muhammad Ali dynasty,31.24061,29.96328,alexandria,Museum Collections from Muhammad Ali dynasty,06:00 AM, 12:00 AM
340,Ancient Roman Theatre,4.4,4894,Theatre,Ruins of a Roman theater & villa,31.19488,29.90404,alexandria,Theatre Ruins of a Roman theater & villa,06:00 AM, 12:00 AM
341,Stanley Bridge,4.6,31926,Bridge,Landmark Arab-style bay crossing,31.23523,29.94864,alexandria,Bridge Landmark Arab-style bay crossing,06:00 AM, 12:00 AM
342,Cavafy Museum,4.3,553,Museum,Former home of a well-known Greek poet,31.19759,29.90124,alexandria,Museum Former home of a well-known Greek poet,06:00 AM, 12:00 AM
343,El Mamurah Beach,4.2,12013,Beach,Lively spot with cafes & a promenade,31.29082,30.03067,alexandria,Beach Lively spot with cafes & a promenade,06:00 AM, 12:00 AM
344,Mahmoud Said Museum,4.5,193,Museum,,31.24439,29.96901,alexandria,Museum, 9:00 AM , 4:00 PM
345,The Cathedral of St. Mark,4.8,2765,Church,Iconic Coptic church on an ancient site Religious Sites,31.19838,29.89957,alexandria,Church Iconic Coptic church on an ancient site Religious Sites,06:00 AM, 12:00 AM
346,Greco-Roman Museum,3.9,459,Museum,HIstory Mummies & other archaeological objects,31.19918,29.9066,alexandria,Museum HIstory Mummies & other archaeological objects,06:00 AM, 12:00 AM
347,Alexandria Naval Unknown Soldier Memorial,4.3,14254,Monument,,31.2,29.89376,alexandria,Monument,06:00 AM, 12:00 AM
348,Corniche Alexandria,4.6,403,Waterfront promenade,dating from 1870,31.20974,29.90762,alexandria,Waterfront promenade dating from 1870,06:00 AM, 12:00 AM
349,Al Qaaed Ibrahim Basha Mosque,4.7,3559,Mosque,Religious Sites,31.20314,29.90384,alexandria,Mosque Religious Sites,07:00 AM, 12:00 AM
350,El Montazah Park,4.1,98,Park,,31.28501,30.02591,alexandria,Park,06:00 AM, 12:00 AM
351,Kom el Dikka,4.3,125,archaeological site,,31.1975,29.909,alexandria,archaeological site,06:00 AM, 12:00 AM
352,Elmontaza Garden,4.5,3171,Garden,Palace grounds with flowerbeds & beaches,31.28395,30.01621,alexandria,Garden Palace grounds with flowerbeds & beaches,06:00 AM, 12:00 AM
353,El Nabi Daniel Mosque,4.5,1699,Mosque,Religious Sites,31.19492,29.90234,alexandria,Mosque Religious Sites,06:00 AM, 12:00 AM
354,Alexandria Corniche,4.6,1552,Beach,,31.20959,29.90763,alexandria,Beach,06:00 AM, 12:00 AM
355,Mohamed Ali Pasha Statue,4.3,3371,Statue,,31.19738,29.89287,alexandria,Statue,06:00 AM, 12:00 AM
356,Montazah Beach,4.6,743,Beach,,31.29303,30.02034,alexandria,Beach,06:00 AM, 12:00 AM
357,St. Takla Church,4.4,810,Church,church and christianity Historic sites,31.21073,29.92628,alexandria,Church church and christianity Historic sites,06:00 AM, 12:00 AM
358,Alexandria Aquarium,4.2,1237,Aquarium,museum & research center,31.21283,29.885,alexandria,Aquarium museum & research center,06:00 AM, 12:00 AM
359,Museum of Fine Arts,4.4,417,Museum,Art Museum,31.19535,29.91344,alexandria,Museum Art Museum,06:00 AM, 12:00 AM
360,Saint Catherine Cathedral,4.6,521,Church,"Cathedral, architecture, church and history Religious Sites",31.19471,29.89452,alexandria,"Church Cathedral, architecture, church and history Religious Sites",06:00 AM, 12:00 AM
361,Sir. Allenby Garden,4.4,800,Garden,park,31.22521,29.95544,alexandria,Garden park,06:00 AM, 12:00 AM
362,Planetarium Science Center (PSC),4.6,276,Planetarium,Space & IMAX movies in a dome theater,31.20898,29.90814,alexandria,Planetarium Space & IMAX movies in a dome theater,06:00 AM, 12:00 AM
363,Elharamlik Palace,4.5,179,Palace,,31.28852,30.01638,alexandria,Palace,06:00 AM, 12:00 AM
364,Tea island,4.4,406,island,,31.29205,30.02116,alexandria,island,06:00 AM, 12:00 AM
365,Princess Aziza Fahmy's Palace,4.3,557,History,,31.24201,29.96137,alexandria,History,06:00 AM, 12:00 AM
366,Montazah Aida Beach,4.5,190,Beach,,30.83516,29.23321,alexandria,Beach,06:00 AM, 12:00 AM
367,El Attarine mosque,4.6,143,Mosque,Religious Sites,31.19521,29.89899,alexandria,Mosque Religious Sites,06:00 AM, 12:00 AM
368,Antoniades Palace,4.1,395,Palace,History,31.20228,29.95073,alexandria,Palace History,06:00 AM, 12:00 AM
